Standaard,Aangetroffen
hoepje,hoepje
hoepring,hoepring
hoepringetjes,hoepringetjes
hoepring,Hoepringh
hoed,Hoet
hooi / Hoij / Hooij / Roij / Rooij,Hoij
Holefernes,Holefernes
Holefernes,Holoserius
hondenhok,Hondehock
hondje,Hontje
hoofden,Hooffden
hoofd,hooft
hoofdkussen,Hooftkussen
hoofdkussens,Hooftkussens
hoofdkussentjes,Hooftkussentjens
Hoornse,Hoornse
horloge,Horalogie
horentjes,Horentjens
horloge,Horloge
horloge,Horologie
horloges,horologies
hout,Hout
houtbakken,Houtbacken
houtskool,Houtcool
houten,Houte
houtskolen,Houtekoolen
zoutstelletje,houtstelletje
houtwerk,Houtwerck
houtwerk,Houwerk
heugeltje,huegeltie
huik,Huijck
huiken,Huijcken
huifjes,Huijffjens
huik,huijk
huiken,Huijken
kuipje,Huijmpje
kuipje,huijpje
kuipjes,huijpjes
huis,Huijs
huisboek,Huijsboeck
huizen,Huijsen
huiven,Huijven
hulletjes,Hulletjens
huurcedul,Huurcedull
huik,Huyke
ijzer,IJser
ijzeren,Ijsere
ijzerpothengsel,IJserpothenghsel
ijzers,Ijsers
ijzerwerk,Ijserwerck
ivoren,IJvore
ijzer,IJzer
ijzerdraad,IJzerdraat
ijzers,IJzers
inktpot,Inckpott
inktkoker,Incktkoker
ingelegd,Ingeleijt
inktpot,Inktpot
inlandsvaartje,Inlantsvaertje
innocent,Innocent
innocenten,Innocenten
innocentrok,innocentrock
instrumenten,Instrumenten
Isaac,Isaac
ijzerwerk,iserwerck
Italiaanse,Italaniaense
Italiaanse,Italiaanse
Italiaans,Italiaens
Italiaanse,Italiaense
Italiaanse,Italianse
jacht,Jacht
jachtje,Jachtge
jak,Jack
jakje,Jackgen
jakje,jackje
Jacob,Jacob
Jacobus,Jacobus
Jacobus,Jacobus
jacobussen,Jacobussen
jager,Jager
jakken,Jakken
Jan,Jan
Japans,Japans
Japanse,Japanse
japon,Japon
japon,Japon
Japanse,Japonse
Jefta,Jefpta
Hiëronymus,Jeronimus
Jezus,Jesu
Jezus,Jesus
Jezus,Jhesus
Johannes,Joannes
juffrouwstronietje,joffrouwstronytge
Joris,Joris
Jozef,Joseph
juffer,Juffer
juffer,Juffer
juffersgezelschapje,Juffersgeselschapje
juwelenkoffertje,juweelcoffertjen
juwelenkoffertje,Juweelkoffertje
juweeltje,Juweeltje
juwelen,Juwelen
kaas,Kaas
kabas,Kabas
kabasbakjes,Kabasbakies
kabasjes,Kabasjes
kabelring,kabelringh
kabinetje,Kabinetje
kachel,Kachel
kakstoel,Kackstoel
kakstoeltje,Kackstoeltie
kaarslade,Kaersla
kaarslade,Kaerslade
kaarslade,kaerslae
kaartjes,kaertiens
kaartje,Kaertje
kaasbakje,Kaesbackje
kornetmutsen,kametmutsen
kornetmutsen,karnetmutsen
kornetmutsen,cornetmutsen
kornetmuts,cornetmuts
kammenkokertje,Kammekoockertje
kan,Kan
kandelaar,kandelaar
kandelaars,Kandelaars
kandelaar,Kandelaer
kandelaars,Kandelaers
kan,Kanne
kannenbord,Kannebord
kannenbord,Kannebordt
kannenbord,Kannebort
kannenbordjes,kanneborties
kannetje,Kanneken
kannen,Kannen
kannetje,Kannetge
kannetje,kannetgen
kannetje,kannetie
kannetje,kannetien
kannetjes,kanneties
kannetje,Kannetje
kannetjes,Kannetjens
kannetjes,kannetjes
kaper,Kaper
kapers,Kapers
kapje,Kapje
kapjes,Kapjens
kapkettinkje,Kapkettinckje
kapluiers,Kapluijers
kapmandje,Kapmantje
kapstok,kapstock
kapstokje,Kapstockje
kapstok,Kapstok
carolien,Karolijn
karpetgordijn,Karpetgardijn
karpetsprei,Karpetspree
karpoes,Karpoes
kas / kast,Kas
kasdoeken,Kasdoecken
kasdoekjes,Kasdoeckjens
kasje / kastje,Kasje
kasjes / kastjes,Kasjens
kast,Kast
katoen,Kattoen
kaarslade,Keerslade
kelkjes,kelckijes
kelkjes,Kelckjens
kelkjes,Kelckjes
kerkstoel,kerckstoel
kerkstoelen,kerckstoelen
kerkstoof,Kerckstooff
kerkstoofje,Kerckstoofge
Kerstnacht,Kersnacht
ketel,Ketel
keteldeksel,Keteldecksel
keteldeksels,Keteldecksels
ketels,Ketels
keteltje,Keteltje
keteltjes,Keteltjens
keten,Keten
ketting,Ketin
kettinkje,ketincken
ketting,Keting
ketting,ketingh
kettinghaak,ketinhaak
kettinkje,Kettinckje
kettinkjes,Kettincxkens
ketting,ketting
ketting,Kettingh
kettinkje,Kettinghje
kettinkjes,kettingjens
kettinkje,Kettingsken
kettinkje,Kettinkje
keuken,Keucken
keukenschilderij,keuckenschilderije
keur,keur
keurslijf,Keurslijf
kevie,Kevier
kinderhoofdjes,kinderehooffgens
kinderhemdjes,kinderhembtjes
kinderkakstoel,Kinderkackstoel
kindermantal,Kindermantel
kinderschoenen,kinderschoenen
kinderendans,kindrendans
kinderhoofd,Kindshooffd
kinderkonterfeitsel,Kindskontrefeijtsel
,Kinmutsjes
kistjes,Kisjes
kiezelier,Kisselier
kiezelier,Kistelier
kist,Kist
kist,Kiste
kistje,Kistgen
kistje,Kistje
klapmuts,Klapmuts
klapmutsje,Klapmutsjens
klapmutsjes,klapmutsjes
klauwring,Klauwringh
kleren,Klederen
,kleecker
kleedje,Kleedge
kleedje,Kleedgen
klerenkast,kleerenkas
kleermanden,Kleermanden
kleerrek,Kleerreck
kleerzakken,Kleersacken
kleerschuier,Kleerschuijer
kleerstok,Kleerstock
kleerstokken,Kleerstocken
kleertafeltje,Kleertaeffeltje
kleed,Kleet
kleedje,Kleetgen
kleedje,Kleetje
kleinigheden,klijnigheden 
kleinodiën,klijnodien
klinkhamers,klinckhamers
kloot,kloott
,Kluijsgissen
knaap,Knaap
,kneusen
kuifmuts,Knijffmuts
kuifmuts,kuijffmuts
knijflesje,Knijpvlesje
knipbeugeltjes,knipbeugeltjes
knipjes,knipjes
knopen,Knoopen
knoopjes,Knoopjes
knop / knoop,Knop
knopen,knopen
knopjes / knoopjes,Knopjens
knopfles,knopvlesse
knopflessen,knopflessen
keuken / koeken,Koecken
koekenijzer,Koecxijser
koekenpan,Koecxpan
koekenpan,Koecxpannen
koekenpan,koekepan
koekenijzer,koekijser
koekplaatje,Koekplaatje
koelvat,Koelvadt
koetje,Koetgen
koetjes,Koetgens
koetswagen,Koetswagen
koeien,Koeyen
koffer,Koffer
koffertje,koffertie
koffertje,koffertjen
koffiekan,Koffijkan
koffiekopjes,Koffijkopjes
keuken,Koken
koker,Koker
kokosnoot,Kokernoot
kolder,Kolder
kolkdeksel,kolkdeksel
kom,Kom
kommetjes,kometjes
kommen,Kommen
kommetjes,Kommetjens
kommetjes,kommetjes
kompasje,Kompasje
koningsdaalder,Konincxdaelders
kunstboek,konstboeck
konterfeitseltjes,konterfeijtjeltjes
konterfeitsel,Kontrefeijtsel
konterfeitsels,kontrefeijtsels
konterfeitsel,Kontrefijtsel
komfoor,konvoor
keuken,Koocken
keukenschilderij,koockenschilderij
keukenschilderijtje,Koockenschilderijtje
kokertje,Koockertje
kookketels,Kookketels
koord,Koort
koordjes,Koortjens
kop,Kop
koper,Koper
koperen,Kopere
koperen,koperen
kopjes,Kopjens
kopjes,Kopjes
kop,koppe
koppen,Koppen
kopjes,koppjes
kopstuk,Kopstuck
kopstukken,Kopstucken
kousen,Kousen
kousjes,Kousjens
kousen,Koussen
kooi,Kouw
kooien,Kouwen
kooitjes,Kouwetgens
,Kouwse
kraakkap,kraackkap
kraakkommen,Kraeckkommen
kraanzaag,Kraensaegh
kraanzaagheften,Kraensaeghheften
kraanzagen,kraensagen
kragen,Kragen
kragen,Kraghen
krampringetje,Krampringetje
kranen,Kranen
,Krantjes
kribbebedje,Krebbeddetien
kransen,Krenssen
krijt,Krijt
krijtrolletjes,krijtrolletjens
kristallen,Kristallen
kroes,Kroese
kroesje,Kroesje
kronen,Kronen
kronen,Kroonen
kroontje,Kroontje
kropbootje,Kropbootje
kroplap,Kroplap
kruiken,kruijcken
kruidhoorntje,Kruijdshoorntje
kruidboek,Kruijdtboeck
crucifix,Kruijsjefix 
kruisrijksdaalders,Kruijsrijcxdaelders
kruiddoos,Kruijtdoos
kruiddoosje,Kruijtdoosje
kruidvaten,kruijtsvaeten
kruiwagens,Kruijwagens
krukken,Krukken
krullen,krullen
crusaat,Krusaet
crucifix,kruysefix
crucifix,kruysseficx
kuip,Kuijp
kuipje,Kuijpje
kuitgespen,kuijtgespen
kunst,kunst
,kurkje
kussens,Kussens
kussentje,kussentie
kussentje,Kussentje
laken,laacken
lakens,laackens
lakense,laackense
laadje,laatjen
laadjes,laatjes
labaar,Labaer
labaren,Labaren
labbekakken,Labbekacken
labbekaksschalen,Labbekacks schaelen
lakwerkse,lackwerckens
laddertje,Laddertje
lade,Lae
laken,Laecken
lakentjes,Laeckentjens
laarsen,Laersen
lamp,Lampe
lampen,Lampen
lampenblaker,lampenblaker
lampet,lampet
lampetschotel,Lampetschotel
lampetschotels,Lampetschotels
lampetten,Lampetten
lampje,Lampje
langwerpig,lanckwerpich
langwerpige,Lanckwerpige
landschapje,Landschapje
landschapjes,Landschapjens
landschapsschilderijtje,Landschapschilderijtje
landschapje,landschaptien
landschapjes,landschaptjens
landschap,landtschap
landschappen,Landtschappen
landschapje,landtschappien
landschapje,landtschappjen
langwerpig,langhwerpich
langwerpig,Langwerpigh
lantaarn,Lantaren
lantaarntje,Lantarentje
lantaarntjes,lantarentjes
lantaarn,Lanteerne
lantaarns,Lanterens
landschap,Lantschap
landschapje,Lantschapge
landschapje,lantschapgen
landschapjes,Lantschapgens
landschapje,lantschapie
landschapje,Lantschapje
landschapjes,Lantschapjens
landschapje,lantschapken
landschap,Lantschappe
landschappen,Lantschappen
landschapsschilderij,lantschappen-schilderij
landschapje,Lantschappge
landschapjes,Lantschappgens
landschapje,Lantschappien
landschapje,lantschappje
landschap,Lantschaps
landschapsschilderij,Lantschapschilderij
landschapsschilderij,lantschapschilderije
landschapsschilderijen,Lantschapschilderijen
landschapsschilderijtje,lantschapschilderijtge 
landschapsschilderijtje,Lantschapschilderijtgen
landschapsschilderijtje,Lantschapschilderijtje
landschapsschilderij,lantschapschildery
landschapje,lantschapyen
lap,Lap
lapje,Lapgen
lapjes,Lapgens
lapje,Lapje
lapjes,Lapjens
lappen,Lappen
lapje,lappjen
lapjes,lappjens
Lazarus,Lasaris
,latatjen
laadjes / latjes,latjens
latten,Latten
lavendel,Lavendel
Lazarus,Lazari
Leckerbeetje,Leckerbeetien
Leckerbeetje,Leckerbeetje
ledikant,Ledecant
ledikant,Ledekant
,Leden
lepels,Leepels
leren,Leere
leeuw,Leeu
leeuw,Leeuw
leeuwerikskooi,Leeuwerixkouw
leeuwtjes,Leeuwtjens
leeuwtjes,leeuwtjes
legatuur,legatuijr
legendeboek,Legendeboeck
legerstukje,Legerstuckje
leien,Leijen
lijst,Leijst
lepels,Lepel
lepelbord,Lepelbort
lepelhuis,lepelhuijsje
lepels,Lepels
lepeltje,Lepeltje
lepeltjes,Lepeltjens
lessenaar,Lessenaer
letter,Letter
letters,Letteren
letters,Letters
livreikoord,Levereijkoort
lidden,Lidtten
Lieve-Vrouwtje,Lieve Vrouwtgen
Lieve-Vrouwebeeldje,Lieve-Vrous-beeldtje
Lieve-Vrouwebeeld,Lieve-Vrouwenbeelt
lijfje,Lijffgen
lijfrentebrief,Lijffrentebrieff
lijnwaad,lijnwaat
lijnwaad,lijnwaet
lijnwaden,lijnwate
lijstjes,lijsgens
lijst,Lijst
lijst,Lijste
lijsten,lijsten
lijstgen,Lijstgen
lijstjes,lijstjens
lijnwaad,Lijwaet
linkermandjes,Linckermantgens
linnen,linden
linnenwerk,lindenwerck
linnenwinkel,lindenwinckel
linnenwerk,lindewerck
linnenwinkel,lindewinckel
lintje,Lindje
linnen / linie,Linien
linnen,Linne
linnen,Linnen
linnenwerk,linnenwerck
linten,Linten
linten,Lintten
lid,Lit
lid,Litt
lid,litte
lobbendozen,Lobbedoossen
lobbetjes,Lobbekens
lobben,Lobben
loden,Looden
loogborstel,Looghborstel
loopspit,Loopspit
lood,Loot
lood,Loot
loodwerk,Lootwerk
lopers,Lopers
losrente,Losrente
Lot (persoon) / lot,Lot
Lot (persoon),Loth
lubben,Lubben
luier,Luijer
luiermanden,luijermanden
luiermand,Luijermandt
luiermandskastje,Luijermanskasje
luiermandje,Luijermantie
luiertjes,Luijertjens
luiwagen,Luijwagen
luiten / Luiten,Luitten
lussen,Lutsen
lijstje,lysge
lijst,Lyst
lijsten,Lysten
lijstje,Lystgen
maantjes,maantjes
machaier,machaijer
maagden,maechden
maneschijn,Maeneschijn
maantje,Maentge
maantje,Maentje
maten,Maeten
Magdalena,Magdalena
mallen,mallen
mand,Mand
mandjes,Mandekens
mandenwerk,Mandewerck
maneschijn,Manescheijn
maneschijn,Maneschijn
maneschijntje,maneschijntgen
maneschijntje,Maneschijntie
maneschijntje,maneschijntje
maneschijn,Maneschyn
mangelbord,Mangebordt
mangelbord,mangelboort
mangelborden,Mangelborden
mangelstok,Mangelstock
maneschijntje,manneschyntge 
mannen-,mans
mannenbeffen,mansbeffen
mannenkleren,mansclederens
mannenkonterfeitsel,manscontrefeijtsel 
mannenkonterfeitsel,manscontrefejtsel
mannenhemden,Manshembden
mannenhemden,manshemden
mannenhoofd,Manshooft
mannenhorloge,manshorloge
mannenkleed,Manskleedt
mannenmutsen,Mansmutsen
mannenonderkleren,Mansonderklederen
mannenrok,Mansrock
mannenrok,mansrok
mannentronie,manstronie 
mannentronie,Manstronien 
mand,Mant
mantel,Mantel
mantels,Mantels
mantelstokken,Mantelstocken
manteltjes,Manteltgens
manteltje,Manteltje
mandje,Mantien
mandje,Mantje
mandjes,Mantjens
marktemmers,Marcktemmer
marktemmers,Marctemmers
Maria,Maria
Mariabeeld,Mariabeeldt
Mariabeeldje,Mariabeeltje
Mariaboodschap,Mariabootscap
Mariabordje,Mariabordeken
Mariabeeldje,Marienbeeltien
Mars,Mars
marktemmer,Martemmer
Maria,Marya
Mariabeeldje,Maryenbeelken
Mariabeeld,Maryenbeelt
mat,Mat
matje,Matje
matras,Matras
matrasjes,matrasjes
matstoel,matstoelen
matstoeltjes,Matstoeltjens
mat,Matt
mat,Matte
matten,Matten
matras,Mattras
medicijnboek,Medicijnboeck
memoriaalboek,Memoriaelboeck
memoriaalboekje,Memoriaelboecxke
memoriaalboekje,Memorieboecxke
mengelskannen,Mengelskannen
Mercurius,Mercurius
mes,Mes
mesjes,Mesjens
messenkoker,Messekoocker
messen,Messen
Messias,Messias
mesjes,Messjens
missiven,Missiven
missiven,Missivens
Moezelwijn,Moesselwijn
mof,Mof
mof,Moff
moffenkas,Moffekas
moffel,Moffel
mofje,mofje
monsters,monsters
monstertjes,monstertjes
mokers,moockers
moor,Moor
morinnetje,Moorinnetje
moorman,Moorman
marmer,Mormer
mortier,Mortier
moskuils,moskels
moskuil,moskel
moskuil,mosquil
mostschaaltjes,Mosschaeltjens
mostschaaltjes,Mosschaeltjes
mosterdlepeltje,Mostartlepeltje
mosterdpot,Mostartpot
mosterdpotje,Mostartpotje
mosterdpot,Mostartpott
mosterdpotten,Mostartpotten
mosterdpot,mosterbot
mosterdpot,mosterpotte
mosterdpot,Mostertpodt
mosterdpot,Mostertpot
mosterdpot,Moszertpot
mutsen,motzen
moude / mout,Mout
mouwtjes,Moutjes
mouw,mouwe
mouwen,Mouwen
mouwknoopjes,mouwknoopjes
munt,Munt
muts,Mus
mutsjes,Musjes
musket,Musquet
muskets-,musquets
musketten,Musquetten
muziek,Musyq
muts,Muts
mutsen,Mutsen
mutsjes,Mutsjens
mutsjes,Mutsjes
mutsje,Mutzien
naaidoosje,Naaijdoosje
naald,naalt
nachtbegijntjes,Nachtbagijntjes
nachthalsdoek,Nachthalsdoeck
nachthalsdoeken,Nachthalsdoecken
nachthalsdoeken,Nachthalsdoeken
nachtje,Nachtien
nachtschilderijtje,nachtschilderijtje
naakte,Nackte
naakt,Naeckt
naakte,Naeckte
naakten,Naeckten
naakt,Naect
naakte,Naecte
naakte,naekte
naaldenkokertje,Naeldekokertje
naaldenkoker,Naeldekoocker
naalden,Naelden
naald,Naelt
naaldwerk,naeltwerck
nachthalsdoek,nagthalsdoek
nachtmutsen,Nagtmutsen
naaikussen,Naijkussen
,Namy
napje,Napje
nappen,Nappen
neerstikken,neersticken
neerstikjes,neerstickjes
neerstikken,Neerstikken
neerstikken,Neerstucken
naaimandje,Neijmantien
naaimandjes,Neijmanties
neteldoekje,Neteldoekje
netten,Netten
neusdoeken,Neusdoecken
neusdoek,neusdoek
neusdoeken,Neusdoeken
notenbomen,Neutenbomen
nobel,Nobel
nobels,Nobels
notenbomen,nooteboome
nopjes,noppjens
nopjes,noppjes
nota,Nota
notenbomen,Notebome
obligatie,Obligatie
obligaties,Obligatien
octaaf,Octaef
octaafbijbeltje,Octaefbijbeltje
octavo,Octavo
oesterbanketje,oesterbancketje
oesterbanketje,oesterbancquetge
offerande,Offerhande
oreilletten,oilietten
horloge,Oirlogie
oorringen,oirringen
oorringetjes,Oirringetjes
,ojisten
,ojistjens
oliekan,Oliekan
oliekannetje,Oliekannetje
olijfhouten,Olijffehoute
oliekan,Olijkan
oliekannetje,Olijkannetje
oliepotjes,Olijpoties
oliepotje,Olijpotje
oliepotjes,Olijpotjens
oliestenen,Olijsteenen
olifant,Oliphant
ontbijt,Onbijt
ontbijtschilderij,Onbijtschilderij
onderbroek,Onderbroeck
onderbroeken,Onderbroecken
onderbroek,onderbroek
onderkleren,Onderklederen
onderkleed,Onderkleet
onderkousen,Onderkousen
ondermouwtjes,Ondermoutjes
ondermutsen,Ondermutsen
onderriem,Onderreem
onderriem,Onderriem
onderriemen,Onderriemen
onderrok,Onderrock
onderrokjes,Onderrockjens
onderrokken,Onderrokken
ondersteekbekken,Ondersteeckbecken
ondersteekbekken,Ondersteeckbeckien
ongeslepen,ongeslepen
Onze Lieve Vrouwe,Ons lieve vrou
ontbijtje,Ontbeijtjen
ontbijt,Ontbijt
ontbijtje,ontbijtenge
onweer,onweer
oogje,Oogje
oorkussens,Oorcussens
oorijzer,Oorijser
oorijzertje,Oorijsertje
oorkussens,Oorkussens
oorstukjes,oorstuckijens
oosterse,Oostersche
Oostindische,Oostindische
opera,Opera
oproerpenning,Oproerpenning
optrek,optreck
opwekking,Opwecking
opwekking,Opweckingh
Ordeel van Paris,Ordeel van Paris
ordonnantie,Ordonnantie
oreilletten,Orlietten
horloge,Orlogie
ossen,Ossen
ossen,Ossen
Oostindische,ostiniensse
oude mannenkleren,oudemansklederen
ovaal,ovaal 
ovaaltje,ovaeltge
ovaaltje,ovaeltje
ovaaltjes,Ovaeltjens
ovalen,ovale
ovalen,Ovalen
overmouw,Overmouwen
overzetting,Oversettingh
overtreksels,Overtrecksels
parels / paarlen,paarlen
pareltjes,paarltjes
pak,Pack
pakjes,Packjens
paandertjes,Paendertgens
paarden,Paerden
parels / paarlen,paerlen
pareltje,paerltje
pareltjes,paerltjes
paard met man,paert met man
palmboren,Palmboren
pan,Pan
pendant,pandant
pendanten,pandanten
pendantjes,Pandantjes
paneel,Paneel
panelen,Panelen
ponjetten,Panjetten
pannenkoekspan,Pankoekspan
paneel,Panneel
pannenkoekspan,Pannekoeckspan
pannen,Pannen
pannetje,pannetie
pannetje,pannetjen
papegaaiekop,Papegaijekop
papegaaiekopjes,Papegaijekopjes
papegaaiekoppen,Papegaijskoppen
,papers
papier,Papier
papieren,Papiere
papieren,Papiere
papieren,Papieren
paplepeltje,Paplepeltje
perkament,parckement
pareltjes,Pareltjes
Paris oordeel,Paris oordeel
parelmoer,Parlemoer
Parnassus,Parnassus
pareltjes,parreltjens
Parijse,Parrijsse
pers,Pars
persje,Parsgen
persje,Parsje
persen,Parssen
part,Part
parten,parten
partij,partheij
partij,parthij
partijtje,parthijtjen
partijtje,partijtjen
pruik,Paruijck
pruiken,Paruijcken
paskaart,paskaert 
paskaart,Paskaerte
passers,passers
passie,passi 
passie,Passie
porseleinen,pasteleijne
porselein,pastelijn
paternoster,Paternoster
patrijs,patrijs
patrijsje,patrijsgen
patronen,Patroonen
patroonkast,Patroonkas
,patryshent
Paulustronie,Pauli-tronie
Paulus,Paulus
perenflesje,Peerevlesje
parels / paarlen,peerlen
parelspelden,peerlspelden
pareltjes,peerltjes
pij,Peij
peluwlaken,peiluwlaecken
pelerine,pelerine
pelterij,Pelterije
pen,Pen
panelen,Penelen
peluwsloop,penlsloop
pennen,Pennen
penning,Penning
penningen,Penningen
penning,Penningh
penninkje,Penninxcke
pentekening,penteeckeningh
pentekening,penteijckeningh
peperbusje,Peperbosje
peperdoosje,Peperdoosje
peperdoosje en,peperdoosjeen
parel,perel
parelspelden,perelspelden
Perzische,persiaense 
personage grote schilderijen,personagie-groote-schilderijen
perspectief,perspecktief 
perspectief,Perspectief
perspectief,Perspectieff 
perspectiefjes,perspectieffjens
perspectiefje,Perspectiefje
perspectief,perspectyf 
perspectief,perspectyff 
Petrus,Petrus
peluwlakens,Peuleulakens
peluwen,Peullen
peluw,peulu
peluw,Peulue
peluwlakens,Peuluelakens
peluwen,Peuluen
peluwlakens,Peululakens
peluw,Peuluw
peluw,Peuluwe
peluwlakens,Peuluwlaecken
peluwlakens,Peuluwlaeckens
peluwen,Peuluws
peluwlakens,Peuluwslaeckens
philipsgulden,Philipsgulden
piek,Piek
pieken,Pijcken
pijp,Pijp
pijpen,Pijpen
pijpkannetje,Pijpkannetien
pintskannen,Pintskannen
pijpjes,pipiens
Piramis,Piramis
pistolen,Pistolen
pistolet,Pistolet
pistoletten,Pistoletten
plaat,plaat
plaatje,plaatken
plakkaten,Placcaten
plaat,plaet
plaatjes,Plaetjens
plaatjes,plaetjes
pleister,Plaijster
plezierkoppen,Plaisierkoppen
plano,Plano
platelen,Plateelen
platen,platen
platte ijzers,Platteijsers
platelen,Plattielen
pleister,playster
pleistere,playstre
pleister,Pleijster
pleisterbeelden,Pleijsterbeelden
pleisterwerk,Pleijsterwerck
ploegjes,Ploegjens
pluim,pluijm
pluimen,Pluijmen
pluimkussen,Pluijmkussen
plundering,Plundering
poederdoos,Poeijerdoos
poederkwast,Poejerquasten
poetische,poetische
punctueren,Poinctueren
portret,Poirtret
,Polderij
peluw,polouw
Pomona,Pomona
ponjetten,ponijetten
ponjetten,Ponjetten
popjes,Popjens
popjes,Popjes
pop,Poppe
poppengoed,poppegoed
poppengoed,Poppegoet
poppengoedijzers,Poppegoetijzers
poppenkastje,Poppekasje
poppengoed,poppengoet
poppenzoutvaatjes,poppesoutvaetjens
porselein,Porceleijn
porseleinen,porceleijne
porselein,Porcelijn
porseleinen,Porcelijne
perspectief,porspectiff
portret,portredt
portretten,portretten
porselein,postelijn
posten,Posten
,postert
pot,Pot
potdeksels,Potdecksels
potgeld,Potgelt
pothengsel,Pothenghsel
pothengsel,pothengsel
potje,Potje
potjes,Potjens
potlood,Potlood
potlood,Potloot
potpenningen,Potpenningen
potpenninkje,Potpenninghjes
pot,Pott
pottenbank,pottebanck
potten,Potten
potje,pottjen
portret,Pourtrait
predikantsbordjes,predicantsborretgens
predikantsbordjes,predicantsbortjens
predicatien,Predicatien
predikantsbordjes,Predikantbortjens
preekstoel,Preeckstoel
preekstoelen,Preeckstoelen
prent,preint
prent,Prent
prentbordje,Prentbortje
prentbordje,prentbortjens
prentbordje,prentbotje
prentbord,prentebort
prenten,prenten
prentborden,princteborden
prent,Print
prentbordjes,Printebordtjens
prentbordje,printeborretge
prentbordjes,printeborretgens 
prentbordjes,printeborritjes 
prentbordjes,printebortjens
prenten,printen 
prentjes,printgens 
prentjes,Printiens
prentje,Printje
prentjes,Printjes
prenten,printten
processtukken,Processtucken
proefzilver,proeffsilver
pronkkussens,Pronckkussens
profeet,prophet
perspectief,prospectyf
prullen,Prullen
prulletjes,prulleties
prulletjes,prulletjes
psalmboekje,Psalmboeckje
peluw,Puele
peluwlakens,puelelackens
peluwen,Puelen
,Puijnsteen
peluwen,Pulluwen
punthaken,punthaaken
puthaak,Puthaack
piek,Pyck
quadrille,quadrielje 
guarde equus,quarde quus
kwartje,Quartje
quarto,Quarto
kwast,Quast
kwasten,Quasten
kwijtschelding,Quijtscheldingh
quintijn,quintijne
rekken,racken
rekje,Rackje
rekjes,Rackjens
ragebol,Raeghboll
raamschaafjes,raemschaefjens
rariteiten,Rariteijten
rasp,Raspe
raspjes,Raspjens
,Raven
reaal,Reael
Rebecca,Rebecca
rechtbank,rechtbanck
rechtbankje,Rechtbanckje
,Recipisse
rekje,reckijen
rekplaat,Reckplaet
rekeningen,Reeckeningen
regenkleed,reegekleet
regenkleed,Regenkleet
reismantel,Reijsmantel
reismanteltje,Reijsmanteltge
reismanteltje,Reijsmanteltje
reisrok,Reijsrock
reiszak,Reijssack
reiszak,Reijssak
reiszakje,Reijssakje
rijven,reiuen
rekje,Rekje
realen,Rialen
rijksdaalders,Rijcxdaelders
rijder,Rijder
rijders,Rijders
rijdrok,Rijdtrock
rijf,Rijff
rijglijven,Rijghlijven
rijgnaalden,rijgnaalden
rijksdaalders,Rijksdaalders
rijschaven,rijschaven
reiszakje,rijssakken
